"condition","plant_id","genotype","time","size_mm2","QY_max","NPQ_L1","NPQ_L2","NPQ_L3","NPQ_L4"
"d","d14","psbo1cr","5.2",77.23,0.584693496050757,"0.0596552725624757","0.617737218697397","1.04290898614528","1.25733598083646"
"d","d15","psbo2cr","7.66666666666667",572.23,0.806533839190535,"0.0383814272233193","0.217829741537494","0.566024160739563","0.793593023085123"
"d","d16","wt","10.2333333333333",1007.22,0.829278684497925,"0.0416438909076468","0.221461311232898","0.502970933658982","0.666243914834892"
"d","d17","psbo1cr","12.5666666666667",71.56,0.59473,"0.08892","0.64952","1.01989","1.14976"
"d","d18","psbo2cr","18.3",516.33,0.810138933821393,"0.0442162711831581","0.174208883659675","0.435612084906939","0.628210170433637"
"d","d19","wt","20.7333333333333",1666.67,0.829751177137646,"0.0436346252107496","0.256278618682763","0.554876612526775","0.682318710362579"
"d","d20","psbo1cr","23.1666666666667",72.34,0.574557688692286,"0.0450247995576445","0.500017884987559","0.87280331213713","1.00966964058612"
"d","d21","psbo2cr","25.4",1423.45,0.812777606519372,"0.0388739813130071","0.235691882187643","0.58241943053848","0.758208762513611"
"d","d22","wt","27.8666666666667",1243.56,0.83696,"0.05515","0.47307","0.83705","0.92566"
"d","d23","psbo1cr","30.1",74.67,0.57388,"0.06162","0.67294","1.06782","1.23249"
"d","d24","psbo2cr","32.5666666666667",881.67,0.819352252770311,"0.0690520989712704","0.416459978449987","0.657692444111743","0.678438965826216"
"d","d25","wt","101.166666666667",1918.89,0.837556267842346,"0.06574928667094","0.506809407209376","0.814692215551699",NA
"d","d26","psbo1cr","102.833333333333",110.56,0.6014,"0.07634","0.71246","1.06869",NA
"d","d27","psbo2cr","104.4",1225.56,0.82419,"0.06401","0.38354","0.91952",NA
"d","d28","wt","105.933333333333",1904.89,0.832899066035309,"0.0674575528245725","0.535872198027183","0.817321443285439",NA
"d","d29","psbo1cr","107.5",54.56,0.60105,"0.01467","0.62832","0.9871",NA
"d","d30","psbo2cr","109",1428.67,0.824351759818572,"0.0504262916558757","0.355297090090784","0.654394457292447",NA
"d","d31","wt","110.5",1483.22,0.832929746632327,"0.051025215814242","0.371403342592468","0.713022601771821",NA
"d","d32","psbo1cr","112.033333333333",86,0.57412,"0.11433","0.81738","1.12325",NA
"d","d33","psbo2cr","113.7",1744.78,0.8238326760967,"0.053465707653687","0.358566725948257","0.674045758548356",NA
"d","d34","wt","180.933333333333",2043.56,0.83016,NA,NA,NA,NA
"d","d35","psbo1cr","181.366666666667",129.89,0.58912,NA,NA,NA,NA
"d","d36","psbo2cr","181.9",1153.44,0.822908658014288,NA,NA,NA,NA
"d","d37","wt","182.366666666667",844.78,0.828420456805322,NA,NA,NA,NA
"d","d38","psbo1cr","182.833333333333",102.22,0.57009,NA,NA,NA,NA
"d","d39","psbo2cr","183.266666666667",1153.33,0.821973448275862,NA,NA,NA,NA
"d","d40","wt","183.733333333333",1581,0.83497,NA,NA,NA,NA
"d","d41","psbo1cr","184.133333333333",132.89,0.60623,NA,NA,NA,NA
"d","d42","psbo2cr","184.666666666667",1330.11,0.823892675568186,NA,NA,NA,NA
